alpha_deg,Cx,Cy,Cz,Cphi,Ctheta,Cpsi
0,33.813,-1.33783e-14,0,-6.55536e-14,0,1.10363e-13
10,34.1262,19.4407,0,95.2597,0,-138.236
20,34.7478,40.86,0,200.214,0,-244.008
30,34.669,64.6676,0,316.871,0,-312.536
40,32.4142,87.8728,0,430.576,0,-324.614
50,27.1987,104.723,0,513.141,0,-267.599
60,20.0162,112.008,0,548.837,0,-158.657
70,12.6472,112.262,0,550.084,0,-31.1701
80,6.01737,110.254,0,540.244,0,94.9477
90,-1.75192e-15,109.242,0,535.286,0,218.484
100,-5.10036,110.443,0,541.171,0,346.662
110,-10.771,112.991,0,553.658,0,483.338
120,-17.1543,113.447,0,555.888,0,614.481
130,-23.4204,106.57,0,522.195,0,698.602
140,-27.9113,89.4232,0,438.174,0,688.034
150,-29.7122,65.4984,0,320.942,0,578.545
160,-29.593,41.1255,0,201.515,0,410.095
170,-28.9256,19.4741,0,95.4231,0,216.369
180,-28.611,0,0,0,0,0
190,-28.9256,-19.4741,0,-95.4231,0,-216.369
200,-29.593,-41.1255,0,-201.515,0,-410.095
210,-29.7122,-65.4984,0,-320.942,0,-578.545
220,-27.9113,-89.4232,0,-438.174,0,-688.034
230,-23.4204,-106.57,0,-522.195,0,-698.602
240,-17.1543,-113.447,0,-555.888,0,-614.481
250,-10.771,-112.991,0,-553.658,0,-483.338
260,-5.10036,-110.443,0,-541.171,0,-346.662
270,-1.75192e-15,-109.242,0,-535.286,0,-218.484
280,6.01737,-110.254,0,-540.244,0,-94.9477
290,12.6472,-112.262,0,-550.084,0,31.1701
300,20.0162,-112.008,0,-548.837,0,158.657
310,27.1987,-104.723,0,-513.141,0,267.599
320,32.4142,-87.8728,0,-430.576,0,324.614
330,34.669,-64.6676,0,-316.871,0,312.536
340,34.7478,-40.86,0,-200.214,0,244.008
350,34.1262,-19.4407,0,-95.2597,0,138.236
360,33.813,-1.33783e-14,0,-6.55536e-14,0,1.10363e-13
